sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2023231,Seminario trabajo de grado,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017236,Sistemas portantes arquitectonicos,3,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017237,Suelos y cimientos,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,0
2017238,Tecnología del concreto,3,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017240,Teoria de la arquitectura I,2,B,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017241,Teoria de la arquitectura II,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017242,Teoria de la arquitectura III,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017243,Teoria de la arquitectura IV,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017244,Teoría de la arquitectura latinoamericana,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017514,Trabajo de Grado,6,P,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017515,Trabajo de Grado - Asignaturas de Posgrado,6,P,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017246,Tratados de arquitectura,2,T,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017247,Urbanismo contemporáneo,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
2017248,Urbanismo en Latinoamérica,2,C,2506,ARQUITECTURA,2049,FACULTAD DE ARTES,1
