sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2018155,Arte escénico II,1,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018049,Canto complementario I,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018050,Canto complementario II,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018051,Canto complementario III,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018052,Canto complementario IV,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021222,Canto I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021223,Canto II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021224,Canto III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021225,Canto IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021226,Canto V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021227,Canto VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021228,Canto VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021229,Canto VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021452,Clarinete I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021453,Clarinete II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021454,Clarinete III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021455,Clarinete IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021456,Clarinete V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021457,Clarinete VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021458,Clarinete VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021459,Clarinete VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2026832,Composición experimental I,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026833,Composición experimental II,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
